level,game,userBeXp,gameProvider,providerCode
Unranked (1),Book of Pyramids,1500100,bgaming,softswiss
Unranked (2),Book of Pyramids,1500100,bgaming,softswiss
Bronze 1,Book of Pyramids,3000100,bgaming,softswiss
Bronze 2,Book of Pyramids,7500100,bgaming,softswiss
Bronze 3,Book of Pyramids,15000100,bgaming,softswiss
Silver 1,Book of Pyramids,37500100,bgaming,softswiss
Silver 2,Book of Pyramids,75000100,bgaming,softswiss
Silver 3,Book of Pyramids,135000100,bgaming,softswiss
Gold 1,Book of Pyramids,270000100,bgaming,softswiss
Gold 2,Book of Pyramids,450000100,bgaming,softswiss
Gold 3,Book of Pyramids,750000100,bgaming,softswiss
Emerald 1,Book of Pyramids,1500000100,bgaming,softswiss
Emerald 2,Book of Pyramids,3000000100,bgaming,softswiss
Emerald 3,Book of Pyramids,6000000100,bgaming,softswiss
Sapphire 1,Book of Pyramids,12000000100,bgaming,softswiss
Sapphire 2,Book of Pyramids,21000000100,bgaming,softswiss
Sapphire 3,Book of Pyramids,33000000100,bgaming,softswiss
Ruby 1,Book of Pyramids,55500000100,bgaming,softswiss
Ruby 2,Book of Pyramids,75000000100,bgaming,softswiss
Ruby 3,Book of Pyramids,112500000100,bgaming,softswiss
Diamond 1,Book of Pyramids,225000000100,bgaming,softswiss
Diamond 2,Book of Pyramids,450000000100,bgaming,softswiss
Diamond 3,Book of Pyramids,900000000100,bgaming,softswiss
Opal 1,Book of Pyramids,1500000000100,bgaming,softswiss
Opal 2,Book of Pyramids,3000000000100,bgaming,softswiss
Opal 3,Book of Pyramids,3000000000100,bgaming,softswiss
