level,game,houseEdge,userBeXp
Unranked (1),Crash,0.01,1500100
Unranked (2),Crash,0.01,1500100
Bronze 1,Crash,0.01,3000100
Bronze 2,Crash,0.01,7500100
Bronze 3,Crash,0.01,15000100
Silver 1,Crash,0.01,37500100
Silver 2,Crash,0.01,75000100
Silver 3,Crash,0.01,135000100
Gold 1,Crash,0.01,270000100
Gold 2,Crash,0.01,450000100
Gold 3,Crash,0.01,750000100
Emerald 1,Crash,0.01,1500000100
Emerald 2,Crash,0.01,3000000100
Emerald 3,Crash,0.01,6000000100
Sapphire 1,Crash,0.01,12000000100
Sapphire 2,Crash,0.01,21000000100
Sapphire 3,Crash,0.01,33000000100
Ruby 1,Crash,0.01,55500000100
Ruby 2,Crash,0.01,75000000100
Ruby 3,Crash,0.01,112500000100
Diamond 1,Crash,0.01,225000000100
Diamond 2,Crash,0.01,450000000100
Diamond 3,Crash,0.01,900000000100
Opal 1,Crash,0.01,1500000000100
Opal 2,Crash,0.01,3000000000100
Opal 3,Crash,0.01,3000000000100
Unranked (1),Dice,0.01,1500100
Unranked (2),Dice,0.01,1500100
Bronze 1,Dice,0.01,3000100
Bronze 2,Dice,0.01,7500100
Bronze 3,Dice,0.01,15000100
Silver 1,Dice,0.01,37500100
Silver 2,Dice,0.01,75000100
Silver 3,Dice,0.01,135000100
Gold 1,Dice,0.01,270000100
Gold 2,Dice,0.01,450000100
Gold 3,Dice,0.01,750000100
Emerald 1,Dice,0.01,1500000100
Emerald 2,Dice,0.01,3000000100
Emerald 3,Dice,0.01,6000000100
Sapphire 1,Dice,0.01,12000000100
Sapphire 2,Dice,0.01,21000000100
Sapphire 3,Dice,0.01,33000000100
Ruby 1,Dice,0.01,55500000100
Ruby 2,Dice,0.01,75000000100
Ruby 3,Dice,0.01,112500000100
Diamond 1,Dice,0.01,225000000100
Diamond 2,Dice,0.01,450000000100
Diamond 3,Dice,0.01,900000000100
Opal 1,Dice,0.01,1500000000100
Opal 2,Dice,0.01,3000000000100
Opal 3,Dice,0.01,3000000000100
Unranked (1),Roulette,0.01,1500100
Unranked (2),Roulette,0.01,1500100
Bronze 1,Roulette,0.01,3000100
Bronze 2,Roulette,0.01,7500100
Bronze 3,Roulette,0.01,15000100
Silver 1,Roulette,0.01,37500100
Silver 2,Roulette,0.01,75000100
Silver 3,Roulette,0.01,135000100
Gold 1,Roulette,0.01,270000100
Gold 2,Roulette,0.01,450000100
Gold 3,Roulette,0.01,750000100
Emerald 1,Roulette,0.01,1500000100
Emerald 2,Roulette,0.01,3000000100
Emerald 3,Roulette,0.01,6000000100
Sapphire 1,Roulette,0.01,12000000100
Sapphire 2,Roulette,0.01,21000000100
Sapphire 3,Roulette,0.01,33000000100
Ruby 1,Roulette,0.01,55500000100
Ruby 2,Roulette,0.01,75000000100
Ruby 3,Roulette,0.01,112500000100
Diamond 1,Roulette,0.01,225000000100
Diamond 2,Roulette,0.01,450000000100
Diamond 3,Roulette,0.01,900000000100
Opal 1,Roulette,0.01,1500000000100
Opal 2,Roulette,0.01,3000000000100
Opal 3,Roulette,0.01,3000000000100
Unranked (1),HiLo,0.01,1500100
Unranked (2),HiLo,0.01,1500100
Bronze 1,HiLo,0.01,3000100
Bronze 2,HiLo,0.01,7500100
Bronze 3,HiLo,0.01,15000100
Silver 1,HiLo,0.01,37500100
Silver 2,HiLo,0.01,75000100
Silver 3,HiLo,0.01,135000100
Gold 1,HiLo,0.01,270000100
Gold 2,HiLo,0.01,450000100
Gold 3,HiLo,0.01,750000100
Emerald 1,HiLo,0.01,1500000100
Emerald 2,HiLo,0.01,3000000100
Emerald 3,HiLo,0.01,6000000100
Sapphire 1,HiLo,0.01,12000000100
