currentLevel,requiredXpToUpgrade,newLevel,rewardAmount,userBeXp,rankXp
Unranked,"2,000.00",Bronze 1,$1.50,1500000,1000
Bronze 1,"5,000.00",Bronze 2,$3.75,3000000,2000
Bronze 2,"10,000.00",Bronze 3,$5.00,7500000,5000
Bronze 3,"25,000.00",Silver 1,$20.00,15000000,10000
Silver 1,"50,000.00",Silver 2,$25.00,37500000,25000
Silver 2,"90,000.00",Silver 3,$40.00,75000000,50000
Silver 3,"180,000.00",Gold 1,$108.00,135000000,90000
Gold 1,"300,000.00",Gold 2,$120.00,270000000,180000
Gold 2,"500,000.00",Gold 3,$200.00,450000000,300000
Gold 3,"1,000,000.00",Emerald 1,$500.00,750000000,500000
Emerald 1,"2,000,000.00",Emerald 2,"$1,000.00",1500000000,1000000
Emerald 2,"4,000,000.00",Emerald 3,"$2,000.00",3000000000,2000000
Emerald 3,"8,000,000.00",Sapphire 1,"$4,800.00",6000000000,4000000
Sapphire 1,"14,000,000.00",Sapphire 2,"$6,000.00",12000000000,8000000
Sapphire 2,"22,000,000.00",Sapphire 3,"$8,000.00",21000000000,14000000
Sapphire 3,"37,000,000.00",Ruby 1,"$9,900.00",33000000000,22000000
Ruby 1,"50,000,000.00",Ruby 2,"$10,000.00",55500000000,37000000
Ruby 2,"75,000,000.00",Ruby 3,"$20,000.00",75000000000,50000000
Ruby 3,"150,000,000.00",Diamond 1,"$75,000.00",112500000000,75000000
Diamond 1,"300,000,000.00",Diamond 2,"$150,000.00",225000000000,150000000
Diamond 2,"600,000,000.00",Diamond 3,"$300,000.00",450000000000,300000000
Diamond 3,"1,000,000,000.00",Opal 1,"$400,000.00",900000000000,600000000
Opal 1,"2,000,000,000.00",Opal 2,"$1,000,000.00",1500000000000,1000000000
Opal 2,"4,000,000,000.00",Opal 3,"$2,000,000.00",3000000000000,2000000000
