currentLevel,requiredXpToUpgrade,newLevel,userBeXp,ranksRewards,claimableRewards,unclaimableRewards
Unranked_1,"2,000.00",Bronze_1,3000000,0|1,Unranked|Bronze_1,Bronze_3|Silver_1|Silver_2|Silver_3|Gold_1|Gold_2|Gold_3|Emerald_1|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Unranked_1,"5,000.00",Bronze_2,7500000,0|1|2,Unranked|Bronze_1|Bronze_2,Silver_1|Silver_2|Silver_3|Gold_1|Gold_2|Gold_3|Emerald_1|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Unranked_2,"5,000.00",Bronze_2,7500000,1|2,Unranked|Bronze_1|Bronze_2,Unranked|Silver_1|Silver_2|Silver_3|Gold_1|Gold_2|Gold_3|Emerald_1|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Unranked_1,"10,000.00",Bronze_3,15000000,0|1|2|3,Unranked|Bronze_1|Bronze_2|Bronze_3,Silver_2|Silver_3|Gold_1|Gold_2|Gold_3|Emerald_1|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Unranked_2,"10,000.00",Bronze_3,15000000,1|2|3,Unranked|Bronze_1|Bronze_2|Bronze_3,Unranked|Silver_2|Silver_3|Gold_1|Gold_2|Gold_3|Emerald_1|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Bronze_1,"10,000.00",Bronze_3,15000000,2|3,Bronze_1|Bronze_2|Bronze_3,Unranked|Silver_2|Silver_3|Gold_1|Gold_2|Gold_3|Emerald_1|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Unranked_1,"25,000.00",Silver_1,37500000,0|1|2|3|4,Unranked|Bronze_1|Bronze_2|Bronze_3|Silver_1,Silver_3|Gold_1|Gold_2|Gold_3|Emerald_1|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Unranked_2,"25,000.00",Silver_1,37500000,1|2|3|4,Unranked|Bronze_1|Bronze_2|Bronze_3|Silver_1,Unranked|Silver_3|Gold_1|Gold_2|Gold_3|Emerald_1|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Bronze_1,"25,000.00",Silver_1,37500000,2|3|4,Bronze_1|Bronze_2|Bronze_3|Silver_1,Unranked|Silver_3|Gold_1|Gold_2|Gold_3|Emerald_1|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Bronze_2,"25,000.00",Silver_1,37500000,3|4,Bronze_2|Bronze_3|Silver_1,Unranked|Bronze_1|Silver_3|Gold_1|Gold_2|Gold_3|Emerald_1|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Unranked_1,"50,000.00",Silver_2,75000000,0|1|2|3|4|5,Unranked|Bronze_1|Bronze_2|Bronze_3|Silver_1|Silver_2,Gold_1|Gold_2|Gold_3|Emerald_1|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Unranked_2,"50,000.00",Silver_2,75000000,1|2|3|4|5,Unranked|Bronze_1|Bronze_2|Bronze_3|Silver_1|Silver_2,Unranked|Gold_1|Gold_2|Gold_3|Emerald_1|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Bronze_1,"50,000.00",Silver_2,75000000,2|3|4|5,Bronze_1|Bronze_2|Bronze_3|Silver_1|Silver_2,Unranked|Gold_1|Gold_2|Gold_3|Emerald_1|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
