userType,loginUserTag,v4BeforeLogin,v4AfterLogin
QA,QA,false,true
Beta,QA,false,false
Regular,QA,true,false
Developer,QA,false,false
QA+Beta,QA,false,true
QA+Regular,QA,true,true
QA+Developer,QA,false,true
Beta+Regular,QA,true,false
Beta+Developer,QA,false,false
Regular+Developer,QA,true,false
QA+Beta+Regular,QA,true,true
QA+Beta+Developer,QA,false,true
QA+Regular+Developer,QA,true,true
Beta+Regular+Developer,QA,true,false
QA+Beta+Regular+Developer,QA,true,false
QA,Beta,false,false
Beta,Beta,false,true
Regular,Beta,true,false
Developer,Beta,false,false
QA+Beta,Beta,false,true
QA+Regular,Beta,true,false
QA+Developer,Beta,false,false
Beta+Regular,Beta,true,true
Beta+Developer,Beta,false,true
Regular+Developer,Beta,true,false
QA+Beta+Regular,Beta,true,true
QA+Beta+Developer,Beta,false,true
QA+Regular+Developer,Beta,true,false
Beta+Regular+Developer,Beta,true,true
QA+Beta+Regular+Developer,Beta,true,true
QA,Regular,false,false
Beta,Regular,false,false
Regular,Regular,true,true
Developer,Regular,false,false
QA+Beta,Regular,false,false
QA+Regular,Regular,true,true
QA+Developer,Regular,false,false
Beta+Regular,Regular,true,true
Beta+Developer,Regular,false,false
Regular+Developer,Regular,true,true
QA+Beta+Regular,Regular,true,true
QA+Beta+Developer,Regular,false,false
QA+Regular+Developer,Regular,true,true
Beta+Regular+Developer,Regular,true,true
QA+Beta+Regular+Developer,Regular,true,true
QA,Developer,false,false
Beta,Developer,false,false
Regular,Developer,true,false
Developer,Developer,false,true
QA+Beta,Developer,false,false
QA+Regular,Developer,true,false
QA+Developer,Developer,false,true
Beta+Regular,Developer,true,false
Beta+Developer,Developer,false,true
Regular+Developer,Developer,true,true
QA+Beta+Regular,Developer,true,false
QA+Beta+Developer,Developer,false,true
QA+Regular+Developer,Developer,true,true
Beta+Regular+Developer,Developer,true,true
QA+Beta+Regular+Developer,Developer,true,true
QA,QA+Beta,false,true
Beta,QA+Beta,false,true
Regular,QA+Beta,true,false
Developer,QA+Beta,false,false
QA+Beta,QA+Beta,false,true
QA+Regular,QA+Beta,true,true
QA+Developer,QA+Beta,false,true
Beta+Regular,QA+Beta,true,true
Beta+Developer,QA+Beta,false,true
Regular+Developer,QA+Beta,true,false
QA+Beta+Regular,QA+Beta,true,true
QA+Beta+Developer,QA+Beta,false,true
QA+Regular+Developer,QA+Beta,true,true
Beta+Regular+Developer,QA+Beta,true,true
QA+Beta+Regular+Developer,QA+Beta,true,true
QA,QA+Regular,false,true
Beta,QA+Regular,false,false
Regular,QA+Regular,true,true
Developer,QA+Regular,false,false
QA+Beta,QA+Regular,false,true
QA+Regular,QA+Regular,true,true
QA+Developer,QA+Regular,false,true
Beta+Regular,QA+Regular,true,true
Beta+Developer,QA+Regular,false,false
Regular+Developer,QA+Regular,true,true
QA+Beta+Regular,QA+Regular,true,true
QA+Beta+Developer,QA+Regular,false,true
QA+Regular+Developer,QA+Regular,true,true
Beta+Regular+Developer,QA+Regular,true,true
QA+Beta+Regular+Developer,QA+Regular,true,true
QA,QA+Developer,false,true
Beta,QA+Developer,false,false
Regular,QA+Developer,true,false
Developer,QA+Developer,false,true
QA+Beta,QA+Developer,false,true
QA+Regular,QA+Developer,true,true
QA+Developer,QA+Developer,false,true
Beta+Regular,QA+Developer,true,false
Beta+Developer,QA+Developer,false,true
Regular+Developer,QA+Developer,true,true
QA+Beta+Regular,QA+Developer,true,true
QA+Beta+Developer,QA+Developer,false,true
QA+Regular+Developer,QA+Developer,true,true
Beta+Regular+Developer,QA+Developer,true,true
QA+Beta+Regular+Developer,QA+Developer,true,true
QA,Beta+Regular,false,false
Beta,Beta+Regular,false,true
Regular,Beta+Regular,true,true
Developer,Beta+Regular,false,false
QA+Beta,Beta+Regular,false,true
QA+Regular,Beta+Regular,true,true
QA+Developer,Beta+Regular,false,false
Beta+Regular,Beta+Regular,true,true
Beta+Developer,Beta+Regular,false,true
Regular+Developer,Beta+Regular,true,true
QA+Beta+Regular,Beta+Regular,true,true
QA+Beta+Developer,Beta+Regular,false,true
QA+Regular+Developer,Beta+Regular,true,true
Beta+Regular+Developer,Beta+Regular,true,true
QA+Beta+Regular+Developer,Beta+Regular,true,true
QA,Beta+Developer,false,false
Beta,Beta+Developer,false,true
Regular,Beta+Developer,true,false
Developer,Beta+Developer,false,true
QA+Beta,Beta+Developer,false,true
QA+Regular,Beta+Developer,true,false
QA+Developer,Beta+Developer,false,true
Beta+Regular,Beta+Developer,true,true
Beta+Developer,Beta+Developer,false,true
Regular+Developer,Beta+Developer,true,true
QA+Beta+Regular,Beta+Developer,true,true
QA+Beta+Developer,Beta+Developer,false,true
QA+Regular+Developer,Beta+Developer,true,true
Beta+Regular+Developer,Beta+Developer,true,true
QA+Beta+Regular+Developer,Beta+Developer,true,true
QA,Regular+Developer,false,false
Beta,Regular+Developer,false,false
Regular,Regular+Developer,true,true
Developer,Regular+Developer,false,true
QA+Beta,Regular+Developer,false,false
QA+Regular,Regular+Developer,true,true
QA+Developer,Regular+Developer,false,true
Beta+Regular,Regular+Developer,true,true
Beta+Developer,Regular+Developer,false,true
Regular+Developer,Regular+Developer,true,true
QA+Beta+Regular,Regular+Developer,true,true
QA+Beta+Developer,Regular+Developer,false,true
QA+Regular+Developer,Regular+Developer,true,true
Beta+Regular+Developer,Regular+Developer,true,true
QA+Beta+Regular+Developer,Regular+Developer,true,true
QA,QA+Beta+Regular,false,true
Beta,QA+Beta+Regular,false,true
Regular,QA+Beta+Regular,true,true
Developer,QA+Beta+Regular,false,false
QA+Beta,QA+Beta+Regular,false,true
QA+Regular,QA+Beta+Regular,true,true
QA+Developer,QA+Beta+Regular,false,true
Beta+Regular,QA+Beta+Regular,true,true
Beta+Developer,QA+Beta+Regular,false,true
Regular+Developer,QA+Beta+Regular,true,true
QA+Beta+Regular,QA+Beta+Regular,true,true
QA+Beta+Developer,QA+Beta+Regular,false,true
QA+Regular+Developer,QA+Beta+Regular,true,true
Beta+Regular+Developer,QA+Beta+Regular,true,true
QA+Beta+Regular+Developer,QA+Beta+Regular,true,true
QA,QA+Beta+Developer,false,true
Beta,QA+Beta+Developer,false,true
Regular,QA+Beta+Developer,true,false
Developer,QA+Beta+Developer,false,true
QA+Beta,QA+Beta+Developer,false,true
QA+Regular,QA+Beta+Developer,true,true
QA+Developer,QA+Beta+Developer,false,true
Beta+Regular,QA+Beta+Developer,true,true
Beta+Developer,QA+Beta+Developer,false,true
Regular+Developer,QA+Beta+Developer,true,true
QA+Beta+Regular,QA+Beta+Developer,true,true
QA+Beta+Developer,QA+Beta+Developer,false,true
QA+Regular+Developer,QA+Beta+Developer,true,true
Beta+Regular+Developer,QA+Beta+Developer,true,true
QA+Beta+Regular+Developer,QA+Beta+Developer,true,true
QA,QA+Regular+Developer,false,true
Beta,QA+Regular+Developer,false,false
Regular,QA+Regular+Developer,true,true
Developer,QA+Regular+Developer,false,true
QA+Beta,QA+Regular+Developer,false,true
QA+Regular,QA+Regular+Developer,true,true
QA+Developer,QA+Regular+Developer,false,true
Beta+Regular,QA+Regular+Developer,true,true
Beta+Developer,QA+Regular+Developer,false,true
Regular+Developer,QA+Regular+Developer,true,true
QA+Beta+Regular,QA+Regular+Developer,true,true
QA+Beta+Developer,QA+Regular+Developer,false,true
QA+Regular+Developer,QA+Regular+Developer,true,true
Beta+Regular+Developer,QA+Regular+Developer,true,true
QA+Beta+Regular+Developer,QA+Regular+Developer,true,true
QA,Beta+Regular+Developer,false,false
Beta,Beta+Regular+Developer,false,true
Regular,Beta+Regular+Developer,true,true
Developer,Beta+Regular+Developer,false,true
QA+Beta,Beta+Regular+Developer,false,true
QA+Regular,Beta+Regular+Developer,true,true
QA+Developer,Beta+Regular+Developer,false,true
