linkName,expectedURL
About Us,/help/about-us
Partnership,/help/support
TOS,/help/terms
Policies,/help/refundpolicy
Provably Fair,/help/fair
Blog,/blog
Crash,/crash
Dice,/dice
Roulette,/roulette
Hilo,/hilo
Plinko,/plinko
Mines,/mines
Casino,/casino
Battles,/slots-arena
Lobby,/casino
Favorites,/casino/favorite
Live Games,/casino/live-games
Slots,/casino/slots
Table Games,/casino/table-games
E-Sport Betting,/sports/esports
Match Betting,/sports
Rewards,/rewards
Affiliates,/affiliates
Promotions,/promotions
Contact Us,/help/support
FAQ,/help/faq
Deposit Methods,/help/about-us
How to Deposit,/help/about-us
How to Withdraw,/help/about-us
Supported Chains,/help/about-us
