case,provider,featuresConfiguration,providersConfiguration,regular_user_result,beta_user_result
1,Hub88,both_enabled,regular_enabled,visible,visible
2,Hub88,both_enabled,both_enabled,invisible,visible
3,Hub88,both_enabled,beta_enabled,invisible,invisible
4,Hub88,both_enabled,both_disabled,invisible,invisible
5,Hub88,beta_enabled,regular_enabled,invisible,visible
6,Hub88,both_disabled,regular_enabled,invisible,invisible
7,Hub88,beta_enabled,both_enabled,invisible,visible
8,Hub88,both_disabled,both_enabled,invisible,invisible
9,Hub88,both_disabled,beta_enabled,invisible,invisible
10,Hacksaw,both_enabled,regular_enabled,visible,visible
11,Hacksaw,both_enabled,both_enabled,invisible,visible
12,Hacksaw,both_enabled,beta_enabled,invisible,invisible
13,Hacksaw,both_enabled,both_disabled,invisible,invisible
14,Hacksaw,beta_enabled,regular_enabled,invisible,visible
15,Hacksaw,both_disabled,regular_enabled,invisible,invisible
16,Hacksaw,beta_enabled,both_enabled,invisible,visible
17,Hacksaw,both_disabled,both_enabled,invisible,invisible
18,Hacksaw,both_disabled,beta_enabled,invisible,invisible
19,Pragmatic,both_enabled,regular_enabled,visible,visible
20,Pragmatic,both_enabled,both_enabled,invisible,visible
21,Pragmatic,both_enabled,beta_enabled,invisible,invisible
22,Pragmatic,both_enabled,both_disabled,invisible,invisible
23,Pragmatic,beta_enabled,regular_enabled,invisible,visible
24,Pragmatic,both_disabled,regular_enabled,invisible,invisible
25,Pragmatic,beta_enabled,both_enabled,invisible,visible
26,Pragmatic,both_disabled,both_enabled,invisible,invisible
27,Pragmatic,both_disabled,beta_enabled,invisible,invisible
