Wallet,BetCurrency,BetAmount
USD,USD,10
USD,EUR,10
USD,RUB,992
USD,JPY,1504
USD,CAD,14
USD,KRW,150
USD,TRY,10
USD,NGN,100
USD,NZD,10
USD,PLN,10
USD,CZK,10
USD,INR,10
BTC,USD,10
BTC,EUR,10
BTC,RUB,992
BTC,JPY,1504
BTC,CAD,14
BTC,KRW,150
BTC,TRY,10
BTC,NGN,100
BTC,NZD,10
BTC,PLN,10
BTC,CZK,10
BTC,INR,10
ETH,USD,10
ETH,EUR,10
ETH,RUB,992
ETH,JPY,1504
ETH,CAD,14
ETH,KRW,150
ETH,TRY,10
ETH,NGN,100
ETH,NZD,10
ETH,PLN,10
ETH,CZK,10
ETH,INR,10
LTC,USD,10
LTC,EUR,10
LTC,RUB,992
LTC,JPY,1504
LTC,CAD,14
LTC,KRW,150
LTC,TRY,10
LTC,NGN,100
LTC,NZD,10
LTC,PLN,10
LTC,CZK,10
LTC,INR,10
TRX,USD,10
TRX,EUR,10
TRX,RUB,992
TRX,JPY,1504
TRX,CAD,14
TRX,KRW,150
TRX,TRY,10
TRX,NGN,100
TRX,NZD,10
TRX,PLN,10
TRX,CZK,10
TRX,INR,10
XRP,USD,10
XRP,EUR,10
XRP,RUB,992
XRP,JPY,1504
XRP,CAD,14
XRP,KRW,150
XRP,TRY,10
XRP,NGN,100
XRP,NZD,10
XRP,PLN,10
XRP,CZK,10
XRP,INR,10
DOGE,USD,1
DOGE,EUR,0.5
DOGE,RUB,10
DOGE,JPY,100
DOGE,CAD,0.5
DOGE,KRW,150
DOGE,TRY,10
DOGE,NGN,100
DOGE,NZD,1
DOGE,PLN,1
DOGE,CZK,10
DOGE,INR,100
SOL,USD,10
SOL,EUR,10
SOL,RUB,992
SOL,JPY,1504
SOL,CAD,14
SOL,KRW,150
SOL,TRY,10
SOL,NGN,100
SOL,NZD,10
SOL,PLN,10
SOL,CZK,10
SOL,INR,10
