menuItemLink,userKycLevel,expectedUrl
Profile,Level1,https://staging-for-e2e-tests.teamgamdom.com/profile
Profile,Level2,https://staging-for-e2e-tests.teamgamdom.com/profile
Profile,Level3,https://staging-for-e2e-tests.teamgamdom.com/profile
Notifications,Level1,https://staging-for-e2e-tests.teamgamdom.com/notifications
Notifications,Level2,https://staging-for-e2e-tests.teamgamdom.com/notifications
Notifications,Level3,https://staging-for-e2e-tests.teamgamdom.com/notifications
Statistics,Level1,https://staging-for-e2e-tests.teamgamdom.com/statistics
Statistics,Level2,https://staging-for-e2e-tests.teamgamdom.com/statistics
Statistics,Level3,https://staging-for-e2e-tests.teamgamdom.com/statistics
Affiliates,Level1,https://staging-for-e2e-tests.teamgamdom.com/affiliates
Affiliates,Level2,https://staging-for-e2e-tests.teamgamdom.com/affiliates
Affiliates,Level3,https://staging-for-e2e-tests.teamgamdom.com/affiliates
Privacy,Level1,https://staging-for-e2e-tests.teamgamdom.com/privacy
Privacy,Level2,https://staging-for-e2e-tests.teamgamdom.com/privacy
Privacy,Level3,https://staging-for-e2e-tests.teamgamdom.com/privacy
Verification,Level1,https://staging-for-e2e-tests.teamgamdom.com/aml/level/1
Verification,Level2,https://staging-for-e2e-tests.teamgamdom.com/aml/level/2
Verification,Level3,https://staging-for-e2e-tests.teamgamdom.com/aml/level/3
Settings,Level1,https://staging-for-e2e-tests.teamgamdom.com/settings
Settings,Level2,https://staging-for-e2e-tests.teamgamdom.com/settings
Settings,Level3,https://staging-for-e2e-tests.teamgamdom.com/settings
Transactions,Level1,https://staging-for-e2e-tests.teamgamdom.com/transactions
Transactions,Level2,https://staging-for-e2e-tests.teamgamdom.com/transactions
Transactions,Level3,https://staging-for-e2e-tests.teamgamdom.com/transactions
Connections,Level1,https://staging-for-e2e-tests.teamgamdom.com/connections
Connections,Level2,https://staging-for-e2e-tests.teamgamdom.com/connections
Connections,Level3,https://staging-for-e2e-tests.teamgamdom.com/connections
