kothType,game,betAmount
Daily,Plinko,150000
Daily,Mines,150000
Daily,PocketDice,150000
Daily,Crash,150000
Daily,Dice,150000
Daily,Roulette,150000
Daily,HiLo,150000
Daily,Keno,150000
Daily,Limbo,150000
Daily,Blackjack,150000
Daily,Book of Pyramids,36450
Weekly,Plinko,150000
Weekly,Mines,150000
Weekly,PocketDice,150000
Weekly,Crash,150000
Weekly,Dice,150000
Weekly,Roulette,150000
Weekly,HiLo,150000
Weekly,Keno,150000
Weekly,Limbo,150000
Weekly,Blackjack,150000
Weekly,Book of Pyramids,36450
Monthly,Plinko,150000
Monthly,Mines,150000
Monthly,PocketDice,150000
Monthly,Crash,150000
Monthly,Dice,150000
Monthly,Roulette,150000
Monthly,HiLo,150000
Monthly,Keno,150000
Monthly,Limbo,150000
Monthly,Blackjack,150000
Monthly,Book of Pyramids,36450
